"PARENT.ID","ID","LENGTH","START","END","CLASS","X.FIT..D","X..COG.","Y..COG.","FRACT..DIM.","TRAPPEDNESS","EFFICENCY","STRAIGHTNESS","SPEED","KURTOSIS","X.FIT..ALPHA","GAUSSIANITY","Asymmetry","MSDRatio","Loc..noise_sigma","Fit.Goodness","Alpha.Fit.Goodness","Confidence","COND"
160,361,31,78,108,"DIRECTED/ACTIVE",0.04304,0.406,2.862,1.476,0.511,0.054,0.296,0.485,2.019,0.925,0.502,0.299,0.057,0.032,0.785,0.932,0.605,"BeforeLatB1"
170,387,13,97,109,"DIRECTED/ACTIVE",0.04496,0.169,5.44,1.447,0.875,0.082,0.335,0.569,2.19,0.56,-0.0009972,0.241,-0.085,0.034,-0.166,0.419,0.647,"BeforeLatB1"
171,391,26,93,118,"DIRECTED/ACTIVE",0.01342,4.103,2.86,1.421,0.657,0.013,0.144,0.163,1.802,1.399,0.217,0.177,-0.063,0.017,0.969,0.987,0.691,"BeforeLatB1"
174,395,11,85,95,"DIRECTED/ACTIVE",0.1213,6.255,7.422,1.421,-0.073,0.115,0.438,1.226,1.442,0.591,-0.052,0.521,0.037,0.087,-71.862,0.598,0.492,"BeforeLatB1"
181,416,13,110,122,"DIRECTED/ACTIVE",0.1062,0.702,3.154,1.353,0.606,0.127,0.453,1.022,1.211,1.071,-0.047,0.544,-0.055,0.039,0.995,0.971,0.578,"BeforeLatB1"
206,469,12,108,119,"DIRECTED/ACTIVE",0.05147,0.853,2.62,1.408,0.335,0.122,0.43,0.806,1.687,0.601,0.07,0.483,0.04,0.031,0.218,0.974,0.543,"BeforeLatB1"
207,471,15,129,143,"DIRECTED/ACTIVE",0.07986,3.267,3.429,1.343,0.762,0.091,0.355,0.88,1.292,1.295,0.029,0.57,-0.037,0.045,0.979,0.977,0.65,"BeforeLatB1"
226,503,17,124,140,"DIRECTED/ACTIVE",0.06468,2.341,4.741,1.084,0.466,0.456,0.807,1.677,1.952,1.486,0.241,0.67,-0.098,0.065,0.974,0.985,0.738,"BeforeLatB1"
228,507,12,123,134,"DIRECTED/ACTIVE",0.0372,6.85,2.48,1.335,0.989,0.09,0.447,0.556,4.88,1.653,1.538,0.581,-0.092,0.039,0.967,0.987,0.554,"BeforeLatB1"
230,512,15,127,141,"DIRECTED/ACTIVE",0.03644,3.173,6.083,1.166,0.483,0.287,0.635,1.086,1.512,1.496,0.029,0.579,-0.102,0.054,0.995,0.996,0.741,"BeforeLatB1"
231,514,15,165,179,"DIRECTED/ACTIVE",0.01677,0.941,4,1.203,0.294,0.132,0.47,0.478,1.124,1.467,-0.017,0.652,-0.135,0.02,0.9,0.922,0.675,"BeforeLatB1"
243,528,18,133,150,"DIRECTED/ACTIVE",0.1163,3.567,3.629,1.473,0.573,0.105,0.396,1.093,1.196,1.088,0.296,0.331,-0.044,0.02,0.978,0.98,0.66,"BeforeLatB1"
